"team","year","exp_wins","gp","bb","bb_opp","bb_ad","exp_wins_half1","exp_wins_half2","tms3","half2_minus_half1","conf"
"Milwaukee Bucks",2020,42.1802130274583,82,11,14,3,20.9972342258128,21.1829788016455,"Brooklyn Nets, Charlotte Hornets, Miami Heat, New York Knicks",0.185744575832739,"E"
"Philadelphia 76ers",2020,41.9163759844667,82,13,15,2,20.938412580982,20.9779634034847,"Charlotte Hornets, Chicago Bulls, Detroit Pistons, Orlando Magic",0.0395508225026262,"E"
"Miami Heat",2020,41.7611833377217,82,13,11,-2,20.4554669917899,21.3057163459317,"Brooklyn Nets, Detroit Pistons, Milwaukee Bucks, Toronto Raptors",0.850249354141781,"E"
"Chicago Bulls",2020,41.6812192414675,82,12,18,6,21.0353337497716,20.6458854916958,"Atlanta Hawks, Orlando Magic, Philadelphia 76ers, Toronto Raptors",-0.389448258075806,"E"
"Brooklyn Nets",2020,41.678335759704,82,11,13,2,20.9653679609819,20.7129677987221,"Cleveland Cavaliers, Miami Heat, Milwaukee Bucks, Washington Wizards",-0.252400162259736,"E"
"Boston Celtics",2020,41.6487882507787,82,12,11,-1,21.4527267629484,20.1960614878303,"Atlanta Hawks, Charlotte Hornets, Detroit Pistons, Indiana Pacers",-1.25666527511815,"E"
"Detroit Pistons",2020,41.5280568477708,82,13,10,-3,20.9410363042379,20.5870205435329,"Boston Celtics, Miami Heat, Orlando Magic, Philadelphia 76ers",-0.35401576070495,"E"
"New York Knicks",2020,41.508840135897,82,13,19,6,19.4420230878726,22.0668170480244,"Atlanta Hawks, Indiana Pacers, Milwaukee Bucks, Orlando Magic",2.62479396015183,"E"
"Indiana Pacers",2020,41.4819346422713,82,11,9,-2,21.3939316425027,20.0880029997686,"Atlanta Hawks, Boston Celtics, New York Knicks, Washington Wizards",-1.30592864273418,"E"
"Toronto Raptors",2020,41.409296393471,82,13,13,0,20.9737025130686,20.4355938804024,"Chicago Bulls, Cleveland Cavaliers, Miami Heat, Washington Wizards",-0.538108632666216,"E"
"Orlando Magic",2020,41.2159758072665,82,11,6,-5,20.3794916391083,20.8364841681582,"Chicago Bulls, Detroit Pistons, New York Knicks, Philadelphia 76ers",0.456992529049856,"E"
"Charlotte Hornets",2020,41.1345979084484,82,12,13,1,20.7259801294019,20.4086177790465,"Boston Celtics, Cleveland Cavaliers, Milwaukee Bucks, Philadelphia 76ers",-0.317362350355339,"E"
"Utah Jazz",2020,41.0876646233541,82,11,14,3,20.4080315244188,20.6796330989353,"Dallas Mavericks, Houston Rockets, Phoenix Suns, Sacramento Kings",0.271601574516588,"W"
"Atlanta Hawks",2020,41.0237861353951,82,14,12,-2,19.0234667408799,22.0003193945152,"Boston Celtics, Chicago Bulls, Indiana Pacers, New York Knicks",2.97685265363531,"E"
"Denver Nuggets",2020,41.0130875215535,82,13,11,-2,21.4302561789829,19.5828313425706,"Golden State Warriors, Los Angeles Clippers, New Orleans Pelicans, San Antonio Spurs",-1.84742483641225,"W"
"Los Angeles Clippers",2020,41.0128148392363,82,13,15,2,20.4475728314004,20.5652420078359,"Dallas Mavericks, Denver Nuggets, Memphis Grizzlies, Portland Trail Blazers",0.117669176435516,"W"
"Houston Rockets",2020,40.983591690745,82,11,11,0,20.4739930887065,20.5095986020385,"Los Angeles Lakers, Oklahoma City Thunder, Sacramento Kings, Utah Jazz",0.0356055133320723,"W"
"Los Angeles Lakers",2020,40.9116082828011,82,12,12,0,21.1176337976446,19.7939744851566,"Houston Rockets, Minnesota Timberwolves, Portland Trail Blazers, San Antonio Spurs",-1.32365931248804,"W"
"Washington Wizards",2020,40.6766494904841,82,13,8,-5,20.1511241423366,20.5255253481475,"Brooklyn Nets, Cleveland Cavaliers, Indiana Pacers, Toronto Raptors",0.374401205810905,"E"
"San Antonio Spurs",2020,40.6625368369318,82,12,11,-1,20.8035873634214,19.8589494735104,"Denver Nuggets, Los Angeles Lakers, Phoenix Suns, Portland Trail Blazers",-0.944637889910936,"W"
"Portland Trail Blazers",2020,40.6351121715301,82,13,12,-1,20.3091764953261,20.325935676204,"Los Angeles Clippers, Los Angeles Lakers, Memphis Grizzlies, San Antonio Spurs",0.0167591808779299,"W"
"Golden State Warriors",2020,40.6042021795332,82,11,11,0,20.8041299267777,19.8000722527554,"Dallas Mavericks, Denver Nuggets, Memphis Grizzlies, Minnesota Timberwolves",-1.0040576740223,"W"
"Sacramento Kings",2020,40.4868375373137,82,13,15,2,20.5776388786271,19.9091986586866,"Houston Rockets, New Orleans Pelicans, Oklahoma City Thunder, Utah Jazz",-0.668440219940479,"W"
"Dallas Mavericks",2020,40.4766547996309,82,13,11,-2,20.4321808658023,20.0444739338286,"Golden State Warriors, Los Angeles Clippers, Oklahoma City Thunder, Utah Jazz",-0.387706931973746,"W"
"Cleveland Cavaliers",2020,40.4227683349891,82,14,11,-3,19.5505919905421,20.872176344447,"Brooklyn Nets, Charlotte Hornets, Toronto Raptors, Washington Wizards",1.32158435390488,"E"
"New Orleans Pelicans",2020,40.2646551765452,82,12,14,2,19.0548382895534,21.2098168869917,"Denver Nuggets, Minnesota Timberwolves, Phoenix Suns, Sacramento Kings",2.15497859743831,"W"
"Memphis Grizzlies",2020,40.1051591655244,82,12,14,2,20.4495468180761,19.6556123474483,"Golden State Warriors, Los Angeles Clippers, Minnesota Timberwolves, Portland Trail Blazers",-0.793934470627857,"W"
"Minnesota Timberwolves",2020,40.040947328866,82,13,12,-1,19.9698584712011,20.0710888576649,"Golden State Warriors, Los Angeles Lakers, Memphis Grizzlies, New Orleans Pelicans",0.101230386463783,"W"
"Phoenix Suns",2020,39.9513941911681,82,13,14,1,20.9300256569411,19.021368534227,"New Orleans Pelicans, Oklahoma City Thunder, San Antonio Spurs, Utah Jazz",-1.90865712271415,"W"
"Oklahoma City Thunder",2020,39.8384421855395,82,13,11,-2,19.4053574839506,20.4330847015889,"Dallas Mavericks, Houston Rockets, Phoenix Suns, Sacramento Kings",1.02772721763821,"W"
